[18:14:11.082]	TCP Server Open (Port : 25007)
[18:14:49.632]	TCP Server Open (Port : 25007)
[18:15:10.600]	TCP Server Open (Port : 25007)
[18:19:01.355]	TCP Server Open (Port : 25007)
[18:20:24.536]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:12,-47
[18:20:25.138]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-38
[18:20:25.589]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:14,-50
[18:20:26.192]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:20:26.192]	[<<-RECV] :175.223.31.240, 	0001WBPN_3,-23/BPN_2,-20/BPN_1,-35/BPN_4,-50
[18:20:26.643]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:0e,-47
[18:20:27.095]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-46
[18:20:27.546]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:14,-46
[18:20:28.299]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:20:28.299]	[<<-RECV] :175.223.31.240, 	0001WBPN_3,-41/BPN_2,-42/BPN_1,-17/BPN_4,-40
[18:20:28.299]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:0e,-57
[18:20:29.051]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-53
[18:20:29.502]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:14,-53
[18:20:30.406]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:20:30.406]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:0e,-47
[18:20:31.460]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:14,-49
[18:20:32.514]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:20:32.514]	[<<-RECV] :175.223.31.240, 	0001WBPN_3,-41/BPN_2,-42/BPN_1,-45/BPN_4,-41
[18:20:32.514]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:0e,-47
[18:20:33.117]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-44
[18:20:34.471]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:20:34.471]	[<<-RECV] :175.223.31.240, 	0001WBPN_3,-43/BPN_2,-11/BPN_1,-47/BPN_4,-44
[18:20:34.471]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:0e,-61
[18:20:35.074]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-53
[18:20:35.527]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:14,-51
[18:20:36.431]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:0e,-46
[18:20:36.884]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:20:36.884]	[<<-RECV] :175.223.31.240, 	0001WBPN_3,-38/BPN_2,-46/BPN_1,-47/BPN_4,-10
[18:20:36.884]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-33
[18:20:37.487]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:14,-49
[18:20:38.389]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:0e,-47
[18:20:38.841]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:20:38.841]	[<<-RECV] :175.223.31.240, 	0001WBPN_3,-35/BPN_2,-46/BPN_1,-45/BPN_4,-52
[18:20:38.841]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-45
[18:20:39.444]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:14,-45
[18:20:40.497]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:0e,-56
[18:20:40.949]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:20:40.949]	[<<-RECV] :175.223.31.240, 	0001WBPN_3,-43/BPN_2,-43/BPN_1,-14/BPN_4,-13
[18:20:40.949]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-51
[18:20:41.401]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:14,-52
[18:20:42.457]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:0e,-47
[18:20:43.058]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:20:43.058]	[<<-RECV] :175.223.31.240, 	0001WBPN_3,-41/BPN_2,-45/BPN_1,-45/BPN_4,-18
[18:20:43.058]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-33
[18:20:44.415]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:0e,-47
[18:20:45.017]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:20:45.017]	[<<-RECV] :175.223.31.240, 	0001WBPN_3,-41/BPN_2,-44/BPN_1,-45/BPN_4,-42
[18:20:45.017]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-44
[18:20:45.620]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:14,-46
[18:20:46.373]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:0e,-56
[18:20:47.126]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:20:47.126]	[<<-RECV] :175.223.31.240, 	0001WBPN_3,-38/BPN_2,-48/BPN_1,-16/BPN_4,-39
[18:20:47.126]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-52
[18:20:47.578]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:14,-54
[18:20:48.481]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:0e,-46
[18:20:49.083]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:20:49.083]	[<<-RECV] :175.223.31.240, 	0001WBPN_3,-43/BPN_2,-45/BPN_1,-54/BPN_4,-16
[18:20:49.083]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-32
[18:20:49.535]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:14,-49
[18:20:50.439]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:0e,-47
[18:20:51.040]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-45
[18:20:51.492]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:20:51.492]	[<<-RECV] :175.223.31.240, 	0001WBPN_3,-39/BPN_2,-39/BPN_1,-50/BPN_4,-38
[18:20:52.397]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:0e,-54
[18:20:52.999]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-52
[18:20:53.602]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:20:53.602]	[<<-RECV] :175.223.31.240, 	0001WBPN_3,-13/BPN_2,-13/BPN_1,-48/BPN_4,-41
[18:20:53.602]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:14,-54
[18:20:54.506]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:0e,-47
[18:20:55.108]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-33
