[11:03:45.995]	TCP Server Open (Port : 25007)
[11:05:17.735]	TCP Server Open (Port : 25007)
[11:07:07.458]	[<<-RECV] :39.7.52.142, 	0001GF000.0000F000.0000
[11:07:07.458]	[<<-RECV] :39.7.52.142, 	0001WBPN_3,-6/BPN_1,-13/BPN_4,-11/BPN_2,-40
[11:07:07.458]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:14,-63
[11:07:08.059]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:11,-48
[11:07:08.811]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:0e,-40
[11:07:09.413]	[<<-RECV] :39.7.52.142, 	0001GF000.0000F000.0000
[11:07:09.413]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:14,-61
[11:07:10.015]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:11,-47
[11:07:10.767]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:12,-43
[11:07:11.520]	[<<-RECV] :39.7.52.142, 	0001GF000.0000F000.0000
[11:07:11.520]	[<<-RECV] :39.7.52.142, 	0001WBPN_3,-11/BPN_1,-44/BPN_4,-16/BPN_2,-13
[11:07:11.520]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:14,-54
[11:07:12.123]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:11,-49
[11:07:12.725]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:0e,-47
[11:07:13.176]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:12,-38
[11:07:13.630]	[<<-RECV] :39.7.52.142, 	0001GF000.0000F000.0000
[11:07:13.630]	[<<-RECV] :39.7.52.142, 	0001WBPN_3,-44/BPN_1,-9/BPN_4,-10/BPN_2,-10
[11:07:13.630]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:14,-48
[11:07:14.232]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:11,-48
[11:07:14.834]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:12,-44
[11:07:15.738]	[<<-RECV] :39.7.52.142, 	0001GF000.0000F000.0000
[11:07:16.791]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:12,-43
[11:07:17.544]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:14,-54
