[00:00:50.852]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:50.852]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:14,-64
[00:00:51.304]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-48
[00:00:51.755]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:51.755]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:0e,-51
[00:00:52.206]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:10,-39
[00:00:52.809]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:52.809]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:14,-56
[00:00:53.261]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-48
[00:00:53.864]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:53.864]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:0e,-48
[00:00:54.314]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:10,-52
[00:00:54.766]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:54.766]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:14,-54
[00:00:55.218]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-49
[00:00:55.819]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:55.819]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:0e,-50
[00:00:56.271]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:10,-51
[00:00:56.874]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:56.874]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:14,-64
[00:00:57.326]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-48
[00:00:57.778]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:58.230]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:10,-55
[00:00:58.832]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:58.832]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:14,-56
[00:00:59.435]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-48
[00:00:59.886]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:59.886]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:0e,-45
[00:01:00.337]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:10,-51
[00:01:00.788]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:01:00.788]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:14,-56
[00:01:01.240]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-49
[00:01:01.843]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:01:02.294]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:10,-51
[00:01:02.746]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:01:02.746]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:14,-66
[00:01:03.349]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:12,-48
[00:01:03.801]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:01:03.801]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:0e,-51
[00:01:04.853]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:01:04.853]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:14,-56
[00:01:05.305]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-47
[00:01:05.757]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:01:05.757]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:0e,-47
[00:01:06.359]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:10,-51
[00:01:06.810]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:01:07.262]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-49
[00:01:07.865]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
